Region,real,barcal
Zakarpats'ka oblast,61%,39%
Ivano-Frankivs'ka oblast,55%,45%
Chernivets'ka oblast,60%,40%
Lviv Oblast,59%,41%
Ternopil's'ka oblast,58%,42%
Rivnens'ka oblast,58%,42%
Odessa Oblast,55%,45%
Kharkiv Oblast,55%,45%
Kyiv city,59%,41%
Sums'ka oblast,61%,39%
Kyivs'ka oblast,59%,41%
Volyns'ka oblast,59%,41%
Vinnyts'ka oblast,56%,44%
Khmel'nyts'ka oblast,59%,41%
Chernihivs'ka oblast,60%,40%
Poltavs'ka oblast,58%,42%
Crimea,57%,43%
Khersons'ka oblast,59%,41%
Zaporiz'ka oblast,58%,42%
Cherkas'ka oblast,59%,41%
Kirovohrads'ka oblast,58%,42%
Zhytomyrs'ka oblast,58%,42%
Dnipropetrovsk Oblast,56%,44%
Mykolaivs'ka oblast,58%,42%
Sevastopol' city,57%,43%
Donetsk Oblast,56%,44%
Luhans'ka oblast,56%,44%
